"Index","Coefficient"
"-","(2*(-2*^(a,3)*x - 2*a*r*(m*M + (-2*M + r)*x) + ^(a,4)*^(x,2)*ω + ^(r,2)*(Complex(0,-6)*M + r*(Complex(0,2) + r*ω)) + ^(a,2)*(M*(Complex(0,2) - 2*r*(-1 + ^(x,2))*ω) + r*(Complex(0,2) + r*(1 + ^(x,2))*ω))))/(^(a,2) + r*(-2*M + r))"
"1","0"
"2","0"
"11","0"
"12","0"
"22","0"
